file,speaker,utterances,tokens,mean_utterance_length,ttr,filled_pauses_per_100_tokens,pause_markers_per_100_tokens,filled_pauses_count,pause_markers_count,types
aprocsa1554a.cha,PAR,204,1390,6.8137,0.3647,11.2230,4.8921,156,68,507
aprocsa1554a.cha,INV,151,895,5.9272,0.3989,2.1229,0.1117,19,1,357
aprocsa1713a.cha,PAR,186,1654,8.8925,0.3869,7.7993,1.6929,129,28,640
aprocsa1713a.cha,INV,119,867,7.2857,0.4879,1.2687,0.0000,11,0,423
aprocsa1731a.cha,PAR,398,2652,6.6633,0.4008,3.3183,1.5460,88,41,1063
aprocsa1731a.cha,INV,253,1200,4.7431,0.5667,0.5000,0.2500,6,3,680
aprocsa1738a.cha,PAR,173,1421,8.2139,0.4265,8.2336,2.2519,117,32,606
aprocsa1738a.cha,INV,122,890,7.2951,0.4663,2.6966,0.0000,24,0,415
aprocsa1833a.cha,PAR,211,1792,8.4929,0.3823,11.3281,3.7388,203,67,685
aprocsa1833a.cha,INV,213,1495,7.0188,0.4562,1.5385,0.0669,23,1,682
aprocsa1944a.cha,PAR,314,2734,8.7070,0.2897,3.6576,1.4631,100,40,792
aprocsa1944a.cha,INV,82,594,7.2439,0.5118,1.1785,0.3367,7,2,304
